CODESYS V3.5 SP15 Patch 1 Trace: Trace
C:\Users\ayesh\Desktop\plc codes\codesysFinal.project
Timestamp(ms) Global_variables.U1 PLC_PRG.PID1.ACTUAL Global_variables.Ysp 
168 0 0 0
368 0 0 0
569 0 0 0
769 0 0 0
970 0 0 0
1170 0 0 0
1371 0 0 0
1571 0 0 0
1772 0 0 0
1973 0 0 0
2174 0 0 0
2374 0 0 0
2574 0 0 0
2775 0 0 0
2975 0 0 0
3176 0 0 0
3376 0 0 0
3577 0 0 0
3777 0 0 0
3978 0 0 0
4178 0 0 0
4379 0 0 0
4579 0 0 0
4780 0 0 0
4980 0 0 0
5180 0 0 0
5381 0 0 0
5581 0 0 0
5782 0 0 0
5982 0 0 0
6183 0 0 0
6383 0 0 0
6584 0 0 0
6784 20 0 0
6985 20 0 0
7185 20 19.998876571655273 0
7386 20 19.998876571655273 0
7587 20 19.999557495117188 0
7788 20 19.999557495117188 0
7988 20 19.999557495117188 0
8189 20 19.999557495117188 0
8389 20 19.999557495117188 0
8589 20 19.999557495117188 0
8790 20 19.999557495117188 0
8990 20 19.999557495117188 0
9191 20 19.999557495117188 0
9392 20 19.999557495117188 0
9593 20 19.999557495117188 0
9793 20 19.999557495117188 0
9994 20 19.999557495117188 0
10194 40 19.999557495117188 0
10395 40 19.999557495117188 0
10595 40 39.998775482177734 0
10796 40 39.998775482177734 0
10996 40 39.998775482177734 0
11196 40 39.999114990234375 0
11397 40 39.999114990234375 0
11597 40 39.999114990234375 0
11798 40 39.999114990234375 0
11998 40 39.999114990234375 0
12199 40 39.999114990234375 0
12399 40 39.999114990234375 0
12600 40 39.999114990234375 0
12800 40 39.999114990234375 0
13001 60 39.999114990234375 0
13201 60 59.998443603515625 0
13402 60 59.998443603515625 0
13602 60 59.9986686706543 0
13802 60 59.9986686706543 0
14003 60 59.9986686706543 0
14203 60 59.9986686706543 0
14404 60 59.9986686706543 0
14604 60 59.9986686706543 0
14805 60 59.9986686706543 0
15005 60 59.9986686706543 0
15206 60 59.9986686706543 0
15407 60 59.9986686706543 0
15608 60 59.9986686706543 0
15808 60 59.9986686706543 0
16009 80 59.9986686706543 0
16209 80 79.998062133789063 0
16409 80 79.998062133789063 0
16611 80 79.99822998046875 0
16812 80 79.99822998046875 0
17012 80 79.99822998046875 0
17213 80 79.99822998046875 0
17413 80 79.99822998046875 0
17613 80 79.99822998046875 0
17814 80 79.99822998046875 0
18014 80 79.99822998046875 0
18216 80 79.99822998046875 0
18416 80 79.99822998046875 0
18618 80 79.99822998046875 0
18818 100 79.99822998046875 0
19019 100 79.99822998046875 0
19219 100 99.9976577758789 0
19420 100 99.9976577758789 0
19620 100 99.997787475585938 0
19821 100 99.997787475585938 0
20021 100 99.997787475585938 0
20221 100 99.997787475585938 0
20423 100 99.997787475585938 0
20623 100 99.997787475585938 0
20824 100 99.997787475585938 0
21024 100 99.997787475585938 0
21226 100 99.997787475585938 0
21426 100 99.997787475585938 0
21627 100 99.997787475585938 0
21827 100 99.997787475585938 0
22027 100 99.997787475585938 0
22228 100 99.997787475585938 0
22429 100 99.997787475585938 0
22629 100 99.997787475585938 0
22829 100 99.997787475585938 0
23030 100 99.997787475585938 0
23230 100 99.997787475585938 0
